,Beam length (um),Beam width (nm),Thickness_1 (nm),Thickness_2 (nm),Temperature (K),Distance (nm),Gate voltage (V),M1 Eigenfrequency (Hz),M1 Quality factor,M1 Effective mass (kg),M1 Noise (kg^2/s^3),M1 TED (W),M2 Eigenfrequency (Hz),M2 Quality factor,M2 Effective mass (kg),M2 Noise (kg^2/s^3),M2 TED (W),M3 Eigenfrequency (Hz),M3 Quality factor,M3 Effective mass (kg),M3 Noise (kg^2/s^3),M3 TED (W),M4 Eigenfrequency (Hz),M4 Quality factor,M4 Effective mass (kg),M4 Noise (kg^2/s^3),M4 TED (W)
0,821.4021134608873,897.5193964317949,200.00000000000568,36.1022656038412,2.2480894164182774,924.9784868676394,39.77552306838462,169003.78980494454,53781.21997142652,2.5811464122087963e-13,1.4905925608450798e-28,9.642600290794254e-13,338502.68077133945,53711.04326725326,2.581529218842308e-13,2.986004841782858e-28,5.677121868152357e-12,508990.0685003006,53640.722509090534,2.5821475647233583e-13,4.490995745470027e-28,1.4419841502966191e-11,680954.0843095792,53577.353352493876,2.583005164785212e-13,6.009472618368121e-28,2.2865734950687416e-11
1,187.63445349410284,482.0655776187805,150.00000000000068,19.450373779982502,161.77306015742957,911.580688413235,10.599196432158324,512665.9173008662,27829.840780741953,2.16796421725806e-14,9.751215845355427e-26,6.273790256146016e-12,1045369.022364361,26776.383559211507,2.183216159266226e-14,2.0024544104712896e-25,1.1600260494995232e-11,1616819.3527052735,25729.96662405629,2.1996208550316163e-14,3.1207873087066543e-25,1.475223929540404e-11,2243524.988027999,24670.596345900445,2.2123748610372573e-14,4.356675310984473e-25,1.7588843617630168e-11
2,638.2040445319966,242.9471375420565,99.99999999999892,24.144951235503413,3.181935384403741,455.8862634003157,15.07437872700416,221111.86993594936,14575.916394374684,2.8713633866667443e-14,1.8791302694272333e-28,1.0342536528137583e-13,442298.3369381633,14575.257337269291,2.871509668822702e-14,3.759056967610465e-28,3.6234033846070257e-13,663629.6857651912,14574.507205619288,2.8715551403587464e-14,5.6402146130515675e-28,7.054147633700169e-13,885178.9825786535,14573.764248600748,2.871377211112594e-14,7.522689204930144e-28,1.1552754228359664e-12
3,910.1057862537784,675.5443967878936,199.99999999999304,43.676386028530494,107.099808461509,914.7052740213638,8.740594694391497,124047.99125075326,39709.5422847332,2.224240908599925e-13,4.860803926849237e-27,1.333736811354302e-12,248343.86231250965,38917.899594093375,2.2244211814805651e-13,9.731897469513547e-27,3.88191252619893e-12,373133.78371345735,38154.0868301221,2.2247161849601805e-13,1.462375162393156e-26,7.550186008681548e-12,498662.98268608114,37426.94562423206,2.2252205740701282e-13,1.95410368277436e-26,1.2207653810269323e-11
4,665.9987726388092,627.258997224228,199.9999999999949,26.36476840824021,0.9706223001703802,659.0573046822753,0.7875513006001689,201641.65294438173,37627.85127478567,1.4122536707895082e-13,9.144100877441783e-29,2.7135717422407323e-13,403763.1402695128,37620.078836209665,1.4123879748032768e-13,1.831171581780377e-28,1.5972385253323024e-12,606842.5081818213,37612.29866689169,1.4126396969076562e-13,2.752680338933578e-28,4.751423625894406e-12,811354.6500383065,37608.20788899405,1.4129933947181436e-13,3.6809170728953687e-28,1.0525633153224236e-11
5,1112.6157709631136,700.3883376717519,149.99999999999744,41.34774650447204,1.6696241372264324,904.8217481467894,28.98011794313848,130232.81142432538,42005.76119774503,2.211217532608188e-13,5.1043027492832e-29,2.2286205623954652e-13,260575.19946546515,41988.725879147205,2.2112973362674333e-13,1.0213219886749211e-28,1.312283347196022e-12,391135.3405368575,41971.49754974457,2.2113409875823846e-13,1.5330806531853852e-28,3.899368595961049e-12,522021.9365180988,41961.506883910035,2.211461967457553e-13,2.045855209153509e-28,8.092832693529885e-12
6,1116.591874291257,706.9375624880297,199.9999999999924,38.15505660139223,3.279859310947712,774.3144642561839,37.73083845153794,123630.0229501731,42386.413659031845,2.8086534519319417e-13,1.1893361748970787e-28,4.802088227320323e-13,247381.4687394099,42357.50256507988,2.808779066215694e-13,2.37992425263914e-28,2.581650527196311e-12,371372.7396758622,42328.25523758177,2.80889525851892e-13,3.572918548615975e-28,5.062312808571683e-12,495723.6840208058,42286.32380164902,2.80910759586881e-13,4.771060423937439e-28,8.272750870777398e-12
7,271.62025749683187,862.3135756701164,200.0000000000012,43.83806752041038,5.684284045826646,680.2172961644858,27.108309408649628,542879.3822422037,51224.35802434059,8.126011494947377e-14,3.627967196875248e-27,5.628080415868727e-12,1098425.47970705,50708.53943662596,8.153726534881713e-14,7.365715262331453e-27,1.4220201717719444e-11,1678768.153799475,50181.05991637636,8.190323902147508e-14,1.1308058214897662e-26,2.2463006688995677e-11,2295074.7984833987,49633.058350596264,8.220062246670573e-14,1.5516141469890762e-26,2.7036715125664356e-11
8,1106.4377898258476,882.368196919685,100.00000000000357,36.04337213560895,180.68998836678628,428.3653197810284,2.7539259474725206,85472.15859400516,49767.78285492694,1.942981851029197e-13,2.5571090934546376e-27,4.489093818910682e-12,171211.31534362707,46944.87711359819,1.9433270499922805e-13,5.123445116366376e-27,1.314650568430377e-11,257480.60380706287,44410.14606093321,1.9438147063982794e-13,7.707495264705105e-27,2.5834086201957716e-11,344541.6902126014,42115.37300425567,1.9445361268646785e-13,1.0318155951925187e-26,4.237638819724941e-11
9,62.19909368548545,473.984370566905,200.00000000000023,37.06398381851629,2.0360265523195293,971.1343162227416,25.496772993356004,2645521.4362535453,28361.37746748234,9.202550596924952e-15,2.4880657184895824e-26,4.337419394937864e-12,5650029.637788389,28273.460725426816,9.5250164096141e-15,5.500004422743969e-26,7.40373465730773e-12,9321135.403835896,28166.864426999688,9.64926150405656e-15,9.19221072051085e-26,9.049253000548946e-12,13914063.174082277,28035.668952641507,9.655209689588695e-15,1.3730503672181786e-25,1.0830713336694148e-11
