,Beam length (um),Beam width (nm),Thickness_1 (nm),Thickness_2 (nm),Temperature (K),Distance (nm),Gate voltage (V),Pretension (Pa),M1 Eigenfrequency (Hz),M1 Quality factor,M1 Effective mass (kg),M1 TED (W),M1 Noise (kg^2/s^3),M2 Eigenfrequency (Hz),M2 Quality factor,M2 Effective mass (kg),M2 TED (W),M2 Noise (kg^2/s^3),M3 Eigenfrequency (Hz),M3 Quality factor,M3 Effective mass (kg),M3 TED (W),M3 Noise (kg^2/s^3),M4 Eigenfrequency (Hz),M4 Quality factor,M4 Effective mass (kg),M4 TED (W),M4 Noise (kg^2/s^3)
0,10.666186472899865,759.4547125869854,192.91116628194612,46.49792427897085,19.089801182128863,465.8226444473603,28.32317866239755,900356676.4429826,64151023.08860925,13361.32588680996,2.3626158796216644e-15,1.0511712746993652e-22,2.602257887612636e-12,160118374.83039114,12059.03166915732,2.5899843126099466e-15,3.186780910504368e-22,2.9915337722490708e-12,290966708.4628352,11433.512255361651,2.560362852448731e-15,6.037977533541733e-22,3.409430366330342e-12,396451977.228644,10139.994030981226,8.780196592546694e-16,3.1811449963090813e-22,4.959457801936238e-12
1,105.19555224886844,890.6961861747174,209.25226759492452,37.40727498647665,3.716552847868662,314.6368351471163,30.30547705834249,509084868.0091897,2569354.395333146,7177441.765954176,3.2160644243302465e-14,2.135344273571868e-28,7.976759418144428e-12,5271427.492667045,6525266.717219344,3.2518477400649674e-14,4.872468081344748e-28,1.103786779535627e-11,8224138.945881522,5740452.25591625,3.281743706935379e-14,8.720428425054212e-28,1.3675329824327479e-11,11522259.804500692,5003228.865261732,3.2919708179654194e-14,1.4061514583316593e-27,1.5839358106020674e-11
3,10.310316185105322,221.11353214175912,195.9037980371373,37.079460688852784,0.027052730690565,251.50069303641453,26.675832020855477,635136279.2814492,33531096.619837992,2675672.8440282224,6.828724052816108e-16,1.2027205313200184e-28,1.5883877773259153e-12,74368498.94439882,2203064.972257904,7.173647991884763e-16,3.403393677989736e-28,1.974862916142434e-12,126764248.94250964,1891217.6094462012,7.206070263899102e-16,6.788349474720842e-28,2.2540011123621647e-12,192369688.65737534,1709826.5624229498,7.147747188010036e-16,1.1302231045015462e-27,2.477636645611277e-12
4,18.683573480639748,282.6621362280694,207.61411714718267,18.750307222349463,0.4964232112915525,172.245796783125,2.6474454751162635,0.0,10490776.466649445,8772643.450892404,1.5062195031888242e-15,1.414623558533533e-28,2.384364401018475e-12,24857324.84891653,8597862.368756328,1.6198815855863813e-15,3.678092376184656e-28,2.740249547567617e-12,44755705.25582115,8332783.29280425,1.6238359291184204e-15,6.849769050081011e-28,2.9439547939725002e-12,70575759.96260074,8000998.130592374,1.6166678368456717e-15,1.1199732695624843e-27,3.0815675554111336e-12
5,121.7478420149078,991.5507659089228,102.50694463254086,29.29748451252755,2.03723454731601,415.4712160385408,18.419811526751356,837421338.7208731,2649738.74515944,7314592.279315454,2.233323510830081e-14,6.140819511700487e-29,1.410879971987898e-11,5380821.797798751,6770361.185725294,2.24542536828235e-14,1.3545566050115148e-28,1.9902068293484475e-11,8269130.657284966,6082613.291864476,2.25961542074658e-14,2.331663850415032e-28,2.5186497182490024e-11,11381108.823312042,5405427.967786585,2.2679053489136e-14,3.6244422065100892e-28,2.982471038360712e-11
6,1082.3415943180955,385.0998831079174,216.55699774683808,20.771243768366528,90.00007469729752,436.67223291953695,0.0,344172335.593055,184779.8732922184,483915.6932948384,1.5017179785457938e-13,2.432936563420141e-28,5.868504231806595e-13,369588.14136518905,483712.17867598135,1.501723294880165e-13,4.868311626455782e-28,1.6178202056381238e-12,554453.962850513,483386.59545618144,1.5016908684543998e-13,7.308173938605547e-28,3.0824128228459946e-12,739406.2560767147,490923.8591818295,1.5018680932666872e-13,9.597502163732476e-28,4.976076313963544e-12
8,11.196821739881978,288.41789597264017,149.95693925741634,11.02063683766567,43.67587657681579,393.9023758255592,0.0,727232538.8479532,33522402.757662907,1030332.9702424472,6.674731304305993e-16,4.178175767332442e-25,1.2187207848229846e-12,76531234.87156592,636334.7902673156,7.10208546370594e-16,1.6433660966445195e-24,1.4673401719897633e-12,133652920.82386778,417856.6622836884,7.13432274329e-16,4.390351088203432e-24,1.6363440210712554e-12,206074054.70409617,296839.10370003834,7.08785318486493e-16,9.46699818625346e-24,1.771621562102788e-12
10,147.7195118854758,811.4778722042066,188.48299779597556,37.961749356714094,133.9161136546993,322.0755130510528,30.34927296750913,280820323.7529182,1346246.000081378,79898.57739886292,3.8149356492941423e-14,2.17857732590104e-25,1.060842981992833e-11,2745466.665987272,74612.88948297435,3.84415965869641e-14,4.794067189504838e-25,1.485468361197503e-11,4246269.943475268,67901.33811201832,3.8730833323129914e-14,8.208928849612829e-25,1.8638982441193294e-11,5890023.0542609515,61262.35094074534,3.888557003447358e-14,1.2671037875197778e-24,2.1859291702053428e-11
11,883.1617617698937,725.9723748498318,141.96847800910956,39.05726285037721,90.73059169146948,325.4231143250165,28.652707283740718,915819680.4255863,342610.577036456,56947.75565323725,1.7281146024969617e-13,6.679026955126462e-27,1.686127826691471e-12,685332.3348187705,56851.9155325303,1.7281607625155615e-13,1.338310125818306e-26,4.744042668698985e-12,1028277.1882817498,56692.66044673609,1.7281505093035426e-13,2.0136381468109214e-26,9.118617056884353e-12,1371557.0039514569,56471.5757430909,1.7282002777050573e-13,2.696463397790643e-26,1.473265831660165e-11
12,52.01418021087659,340.81858819433,192.21237746973745,13.112124844464,0.6480642724544626,141.95524852529817,20.08120722255989,0.0,2836322.25780176,11354213.511971166,4.92938572675156e-15,1.6289552629838665e-29,3.4261326881129558e-12,6006728.047382298,11306415.3914018,5.0753756962442246e-15,3.5669667908687517e-29,4.503583961917636e-12,9766459.717510348,11218024.51541446,5.134486562365407e-15,5.913377949814287e-29,5.301461245340574e-12,14277038.344993098,11086644.231771495,5.130322171370549e-15,8.739779802344622e-29,5.867690781971161e-12
